"ip","name","alignment_idx"
"169.254.18.31","TOP0","0"
"169.254.18.31","TOP1","0"
"169.254.18.31","TOP2","0"
"169.254.18.31","TOP3","0"
"169.254.18.31","TOP4","0"
"169.254.18.32","A0","0"
"169.254.18.32","A1","0"
"169.254.18.32","A2","0"
"169.254.18.32","A3","0"
"169.254.18.32","A4","0"
"169.254.18.32","A5","0"
"169.254.18.32","A6","0"
"169.254.18.32","A7","0"
"169.254.18.33","B0","0"
"169.254.18.33","B1","0"
"169.254.18.33","B2","0"
"169.254.18.33","B3","0"
"169.254.18.33","B4","0"
"169.254.18.33","B5","0"
"169.254.18.33","B6","0"
"169.254.18.33","B7","0"
"169.254.18.34","C0","0"
"169.254.18.34","C1","0"
"169.254.18.34","C2","0"
"169.254.18.34","C3","0"
"169.254.18.34","C4","0"
"169.254.18.34","C5","0"
"169.254.18.34","C6","0"
"169.254.18.34","C7","0"
"169.254.18.35","D0","0"
"169.254.18.35","D1","0"
"169.254.18.35","D2","0"
"169.254.18.35","D3","0"
"169.254.18.35","D4","0"
"169.254.18.35","D5","0"
"169.254.18.35","D6","0"
"169.254.18.35","D7","0"
"169.254.18.36","E0","0"
"169.254.18.36","E1","0"
"169.254.18.36","E2","0"
"169.254.18.36","E3","0"
"169.254.18.36","E4","0"
"169.254.18.36","E5","0"
"169.254.18.36","E6","0"
"169.254.18.36","E7","0"
