triangle_idx,outline_a0,outline_a1,outline_a2,outline_b0,outline_b1,outline_b2,outline_c0,outline_c1,outline_c2,outline_d0,outline_d1,outline_d2,outline_e0,outline_e1,outline_e2
1,27,26,28,21,20,20,15,12,12,7,4,7,3,2,0
2,27,26,28,21,20,20,15,12,12,7,4,7,3,2,0
3,27,26,28,21,20,20,15,12,12,7,4,7,3,2,0
4,27,26,28,21,20,20,15,12,12,7,4,7,3,2,0
5,27,26,28,21,20,20,15,12,12,7,4,7,3,2,0
6,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
7,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
8,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
9,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
10,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
11,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
12,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
13,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
14,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
15,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
16,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
17,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
18,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
19,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
20,28,27,30,24,21,22,18,14,15,10,7,7,3,2,0
